"","fichero","etiquetas"
"1","10004112_1700109353602284_922287493_n.jpg","Crowd| People| Fan| Audience| Product"
"2","10005694_1110003919039609_231317455_n.jpg","People| Event| Crowd| Fashion| Night"
"3","10012451_885195031579024_516414671_n.jpg","Youth| Community| Team| Event| T-shirt"
"4","100942304_255601678983904_1803945369036021155_n.jpg","Event| Military officer| Christmas eve| Greeting| Tradition"
"5","100987546_254595535649569_3825500359020850321_n.jpg","Motor vehicle| Spokesperson| Photo caption| Public speaking| Businessperson"
"6","101061953_878933422619025_7541488507892448429_n.jpg","Suit| Formal wear| Text| Tuxedo| Font"
"7","101069690_932999173819262_346876438026181769_n.jpg","Photograph| Sky| Suit| Photography| Interaction"
"8","101093532_238920504105520_2643249811369938479_n.jpg","Suit| Photo caption| Event| Job| Official"
"9","101216508_105957714402242_3639977945807818461_n.jpg","Job| Official| Photo caption| Event| Spokesperson"
"10","101294838_169008267995008_4509173040126995280_n.jpg","Suit| Formal wear| Tuxedo| Businessperson| Photo caption"
"11","101317316_150071086584554_7361855275534384514_n.jpg","Suit| Businessperson| Sky| Font| Photo caption"
"12","101383651_281233003012535_3356150015897065283_n.jpg","Text| Photo caption| Suit| Official| Photography"
"13","101434020_684268322147800_5455787798429022686_n.jpg","Photo caption| Speech| News| Spokesperson| Public speaking"
"14","101446741_589898148612089_2994283667304506637_n.jpg","Peaked cap| Military officer| Naval officer| Military person| Military rank"
"15","101636988_1130722650647713_8157476877903556733_n.jpg","Suit| Businessperson| Job| Sky| White-collar worker"
"16","10175312_713366228706128_442845064_n.jpg","Reflection| Natural landscape| Nature| Sky| Water resources"
"17","101802896_949657715489031_449400086269026504_n.jpg","Public speaking| Photo caption| Spokesperson| Speech| Movie"
"18","101835787_259912845086520_3117656475854450127_n.jpg","Sky| Youth| Event| Public speaking| Crowd"
"19","101965450_2582414095346178_62679811743103147_n.jpg","Suit| Photo caption| Businessperson| Manager| Lawn"
"20","102294646_279943583410772_8135304730740640366_n.jpg","Public speaking| Sky| Gesture| Orator| Job"
"21","102412515_2945090382226422_3354814533475761130_n.jpg","Photograph| Black| Black-and-white| People| Monochrome"
"22","10246045_675274799200981_837532103_n.jpg","Event| Hat| Headgear| Suit| Fashion accessory"
"23","10251359_524427384332384_107446477_n.jpg","Event| Formal wear| Friendship| Sky| Fun"
"24","102539401_744855872955116_3774760792764176064_n.jpg","Speech| Public speaking| Spokesperson| Orator| Job"
"25","10261205_653176681490913_1155681980_n.jpg","Event| Collage| Suit| Formal wear| Art"
"26","102657698_123086859414204_6710222467044819682_n.jpg","Transport| Sky| Advertising| Air travel| Font"
"27","102662805_269189631102738_8222864466109085784_n.jpg","Speech| Event| Public speaking| Official| Spokesperson"
"28","10269010_736480146404936_1373432673_n.jpg","Standing| Architecture| Electronic instrument| Black-and-white| Technology"
"29","102827143_721002108655568_5587066885635376359_n.jpg","Text| Font| Photography| Job| Advertising"
"30","10296684_1165891943421075_1066385759_n.jpg","Product| People| Crowd| Fan| Community"
"31","10296856_692916640768580_1104597717_n.jpg","Marching| Marching band| Uniform| Standing| Monochrome"
"32","103329813_705249043623944_237529078266815787_n.jpg","Speech| Public speaking| Spokesperson| Job| Orator"
"33","103372096_283231212805870_7512494621604777333_n.jpg","Job| Event| Font| Photo caption| Employment"
"34","103428982_210008533352755_2505831149506973328_n.jpg","Photo caption| Suit| Outerwear| Grass| Photography"
"35","103479775_1531795626980328_5143478372649809214_n.jpg","News| Job| Media| Official| Event"
"36","10349411_297168550452428_1925516832_n.jpg","Fashion| Event| Suit| Formal wear| Drink"
"37","10349742_1734919333409849_1665120239_n.jpg","Crowd| Audience| People| Auditorium| Convention"
"38","10349775_1574089779548669_1503344858_n.jpg","White-collar worker| Chin| Gesture| Businessperson| Suit"
"39","103574261_548746265799419_9207725115344816720_n.jpg","Hat| Headgear| Cap| Costume hat| Costume accessory"
